LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002210665-0001-9,MID CITY CANNABIS CLUB INC,LA BREA COLLECTIVE,5057 W PICO BLVD,LOS ANGELES,90019-4129,5057 PICO 90019-4129,,,,888888,Medical Marijuana Collective,10,12/28/2006,,"(34.0478, -118.348)"
0002941059-0001-9,UNIVERSE VITALITY CORPORATION,,219 W 4TH STREET   SPACE #A,LOS ANGELES,90013-0000,219 4TH 90013-0000,,,,888888,Medical Marijuana Collective,14,10/21/2016,,"(0, 0)"
0002257045-0001-9,THERAPEUTIC HEALTH COLLECTIVE INC,,621 W ROSECRANS AVENUE UNIT #101,GARDENA,90248-1516,621 ROSECRANS 90248-1516,,,,888888,Medical Marijuana Collective,15,06/20/2007,,"(33.9018, -118.2858)"
0002253054-0001-9,SAFE HARBOR PATIENT'S COLLECTIVE INC,,5953 HAZELTINE AVENUE #B,VAN NUYS,91401-3778,5953 HAZELTINE 91401-3778,,,,888888,Medical Marijuana Collective,2,06/12/2007,,"(34.1787, -118.4399)"
0002871131-0001-7,LINCOLN HEALTH,,5650 W WASHINGTON BLVD,LOS ANGELES,90016-1930,5650 WASHINGTON 90016-1930,12115 MAGNOLIA BLVD #221,NORTH HOLLYWOOD,91607-2609,888888,Medical Marijuana Collective,10,11/17/2015,,"(34.0356, -118.367)"
0002987580-0001-9,KEEP EM LIT,,1345 W MANCHESTER AVENUE   SUITE #F,LOS ANGELES,90044-2257,1345 MANCHESTER 90044-2257,,,,888888,Medical Marijuana Collective,8,08/01/2016,,"(33.9603, -118.2998)"
0002889921-0001-3,ORGANIC CAREGIVERS MEDICAL CANNIBIS INFORMATION EDUCATION CENTER LLC,,2249   WESTWOOD BLVD   UNIT #A,LOS ANGELES,90064-2017,2249 WESTWOOD 90064-2017,,,,888888,Medical Marijuana Collective,5,05/12/2010,,"(34.043, -118.4311)"
0002260907-0001-2,NATURES CURE INC,NATURE'S CURE INC | NATURE'S CURE INC.,8740 S SEPULVEDA BLVD   #105,LOS ANGELES,90045-4000,8740 SEPULVEDA 90045-4000,10115   JEFFERSON BLVD,CULVER CITY,90232-3519,888888,Medical Marijuana Collective,11,08/28/2007,,"(33.9577, -118.3958)"
0002195358-0001-6,KUSH ALLEY COLLECTIVE INC,,16733   SCHOENBORN STREET,NORTH HILLS,91343-6107,16733 SCHOENBORN 91343-6107,16733   SCHOENBORN STREET,NORTH HILLS,91343-6107,888888,Medical Marijuana Collective,12,10/01/2006,,"(34.2229, -118.4978)"
0002627252-0001-8,KML CONSULTANT INC,,9001 S NORMANDIE AVENUE,LOS ANGELES,90044-2023,9001 NORMANDIE 90044-2023,6709 LA TIJERA BLVD #568,LOS ANGELES,90045-2017,888888,Medical Marijuana Collective,0,07/23/2012,,"(33.9558, -118.3002)"
0002172987-0001-7,"TLC, INC",,3650 E OLYMPIC BLVD,LOS ANGELES,90023-3129,3650 OLYMPIC 90023-3129,,,,888888,Medical Marijuana Collective,14,08/09/2006,,"(34.0178, -118.1986)"
0002220929-0001-3,CHINATOWN PATIENT COLLECTIVE GROUP INC,,2439   HUNTER,LOS ANGELES,90021-,2439 HUNTER 90021-,7250   NUNES LANE,EUREKA,95503-7193,888888,Medical Marijuana Collective,14,01/30/2007,,"(0, 0)"
0002880727-0001-9,SEROTONIN MANAGEMENT,THE W,1302 N WILMINGTON BLVD,WILMINGTON,90744-2404,1302 WILMINGTON 90744-2404,,,,888888,Medical Marijuana Collective,15,01/14/2016,,"(33.7887, -118.2745)"
0002195362-0001-2,THE NATURAL WAY OF L A,ROYAL GREENS,5067 W WASHINGTON BLVD,LOS ANGELES,90016-1450,5067 WASHINGTON 90016-1450,,,,888888,Medical Marijuana Collective,10,11/01/2006,,"(34.0412, -118.3503)"
0002181863-0001-2,MARY JANES COLLECTIVE CAREGIVERS,MARY JANE'S MEDICAL CANNABIS COLLECTIVE,4901 MELROSE AVENUE,LOS ANGELES,90029-3731,4901 MELROSE 90029-3731,,,,888888,Medical Marijuana Collective,13,09/14/2006,,"(34.0835, -118.3072)"
0002112115-0001-9,IRONWORKS COLLECTIVE INC,IRONWORKS COLLECTIVE,718 E COMMERCIAL STREET,LOS ANGELES,90012-3412,718 COMMERCIAL 90012-3412,1645 S LA CIENEGA BLVD,LOS ANGELES,90035-4561,888888,Medical Marijuana Collective,14,04/28/2006,,"(34.0523, -118.232)"
0002666211-0001-7,GREEN LEAF VIP INC,,8501 S FIGUEROA STREET,LOS ANGELES,90003-2785,8501 FIGUEROA 90003-2785,5050 GAGE AVENUE,BELL,90201-1547,888888,Medical Marijuana Collective,8,02/20/2013,,"(33.9611, -118.2827)"
0002695118-0001-2,BEST BUDS CARE INC,SPECTRUM CAREGIVERS,3567 W 3RD STREET,LOS ANGELES,90020-2012,3567 3RD 90020-2012,,,,888888,Medical Marijuana Collective,10,08/01/2013,,"(34.069, -118.2932)"
0000725759-0003-9,KUSH VALLEY COLLECTIVE,,6500   STANFORD AVENUE,LOS ANGELES,90001-1536,6500 STANFORD 90001-1536,,,,888888,Medical Marijuana Collective,9,11/14/2006,,"(33.981, -118.2624)"
0002231724-0001-8,HERBAL RELIEF CAREGIVERS INC,,7648 CLYBOURN AVENUE #A,SUN VALLEY,91352-4622,7648 CLYBOURN 91352-4622,7648 CLYBOURN AVENUE #A,SUN VALLEY,91352-4628,888888,Medical Marijuana Collective,2,02/15/2007,,"(34.21, -118.3634)"
0002175639-0001-5,EXCLUSIVE CAREGIVERS OF CALIFORNIA INC,EXCLUSIVE CAREGIVERS OF CALIFORNIA,6200 S WILTON PLACE,LOS ANGELES,90047-1319,6200 WILTON 90047-1319,,,,888888,Medical Marijuana Collective,8,09/30/2006,,"(33.9833, -118.3148)"
0002929281-0001-5,MOISE GELIN,VANTAGE VAPES,6006   VANTAGE AVENUE,NORTH HOLLYWOOD,91606-4638,6006 VANTAGE 91606-4638,,,,888888,Medical Marijuana Collective,2,02/15/2015,,"(34.1797, -118.3974)"
0002182264-0001-5,HERBAL SOLUTIONS PRE ICO LLC,URBAN TREEZ,11376   VENTURA BLVD,STUDIO CITY,91604-3139,11376 VENTURA 91604-3139,2711 N SEPULVEDA BLVD   #270,MANHATTAN BEACH,90266-2725,888888,Medical Marijuana Collective,2,09/14/2006,,"(34.1396, -118.3787)"
0002766766-0001-4,DUONG NGUYEN,ROLLING GREEN GROUP,16400 S VERMONT AVENUE,GARDENA,90247-4914,16400 VERMONT 90247-4914,,,,888888,Medical Marijuana Collective,15,03/07/2014,,"(33.8825, -118.2912)"
0002178173-0001-3,CRUZ VERDE INC,GREEN CROSS OF TORRANCE,1658 W CARSON STREET SUITE # B C,TORRANCE,90501-2836,1658 CARSON 90501-2836,POST OFFICE BOX #955,NORTH HOLLYWOOD,91603-0955,888888,Medical Marijuana Collective,15,11/01/2006,,"(33.8314, -118.3079)"
0002231006-0001-2,VALLEY HERBAL CENTER INC,,14522   VICTORY BLVD,VAN NUYS,91411-1618,14522 VICTORY 91411-1618,,,,888888,Medical Marijuana Collective,6,04/01/2007,,"(34.1866, -118.4495)"
0002274920-0001-3,DEC MEDICAL INC,CANNASUTRA,11101 VENTURA BLVD #1,STUDIO CITY,91604-3134,11101 VENTURA 91604-3134,13664 OTTOMAN STREET,ARLETA,91331-6314,888888,Medical Marijuana Collective,2,09/14/2007,,"(34.1411, -118.3719)"
0002179615-0002-7,ZEN MEDICAL GARDEN CO OP INC,GREEN LIGHT DISCOUNT PHARMACY | ZEN MEDICAL GARDEN/GREENLIGHT DISCOUNT PHARMACY,15507 COBALT STREET UNIT #4,SYLMAR,91342-3563,15507 COBALT 91342-3563,,,,888888,Medical Marijuana Collective,7,06/04/2007,,"(34.307, -118.4695)"
0002206249-0001-4,"NATURAL REMEDIES, INC",,927 1/2 N WESTERN AVENUE,LOS ANGELES,90029-3215,927 WESTERN 90029-3215,11635 MORRISON STREET,NORTH HOLLYWOOD,91601-4346,888888,Medical Marijuana Collective,13,12/05/2006,,"(34.0874, -118.3091)"
0002643087-0001-9,RESEDA DISCOUNT CORPORATION,,18448 OXNARD STREET BUILDING,TARZANA,91356-1504,18448 OXNARD 91356-1504,,,,888888,Medical Marijuana Collective,3,10/15/2012,,"(34.1799, -118.5349)"
0002441144-0001-3,BUDDHA BAR COLLECTIVE INC,,440 1/2 N LA CIENEGA BLVD,WEST HOLLYWOOD,90048-1907,440 LA CIENEGA 90048-1907,,,,888888,Medical Marijuana Collective,5,06/01/2009,,"(34.0792, -118.3765)"
0002060233-0001-7,CALVIN FRYE,COMPASSSIONATE CAREGIVER OF STUDIO CITY,11422 MOORPARK STREET,STUDIO CITY,91602-2010,11422 MOORPARK 91602-2010,,,,888888,Medical Marijuana Collective,2,09/01/2005,,"(34.1503, -118.3798)"
0003043880-0001-4,OPHIUCHUS INC,PCH HERBARIUM,1605   PACIFIC COAST HIGHWAY   #107,HARBOR CITY,90710-2600,1605 PACIFIC COAST 90710-2600,,,,888888,Medical Marijuana Collective,15,03/01/2018,,"(33.7899, -118.3047)"
0002183298-0001-1,DOWNTOWN COLLECTIVE INC,MAGNOLIA WELLNESS,5142 VINELAND AVENUE,NORTH HOLLYWOOD,91601-3849,5142 VINELAND 91601-3849,,,,888888,Medical Marijuana Collective,2,09/19/2006,,"(34.1637, -118.3702)"
0002234992-0001-2,MOTA INC,,4001 W SUNSET BLVD,LOS ANGELES,90029-2105,4001 SUNSET 90029-2105,,,,888888,Medical Marijuana Collective,13,03/22/2007,,"(34.0928, -118.2803)"
0002248188-0001-6,VENICE ALTERNATIVE HEALING COLLECTIVE CO-OP,,817 E GAGE AVENUE,LOS ANGELES,90001-1515,817 GAGE 90001-1515,11664   NATIONAL BLVD   SUITE #425,LOS ANGELES,90064-3802,888888,Medical Marijuana Collective,9,04/18/2011,,"(33.9823, -118.2608)"
0002248388-0002-1,VALLEY HEALTH CENTER COLLECTIVE INC,,9752   GLENOAKS BLVD,SUN VALLEY,91352-1014,9752 GLENOAKS 91352-1014,,,,888888,Medical Marijuana Collective,6,03/01/2007,,"(34.247, -118.3844)"
0002255629-0001-4,HARBOR CAREGIVERS INC,CANNASSEUR'S CLUB,10125   SEPULVEDA BLVD,MISSION HILLS,91345-2613,10125 SEPULVEDA 91345-2613,,,,888888,Medical Marijuana Collective,7,06/25/2007,,"(34.2544, -118.4678)"
0002221186-0001-3,HERBALCURE CORPORATION,,17601 S DENVER AVENUE,GARDENA,90248-3412,17601 DENVER 90248-3412,11900 W OLYMPIC BLVD   SUITE #770,LOS ANGELES,90064-1198,888888,Medical Marijuana Collective,15,04/18/2011,,"(33.8706, -118.2831)"
0002246086-0001-4,CARE CALIFORNIA CONSULTATION INC,BUDDHA COMPANY,2038 SACRAMENTO STREET,LOS ANGELES,90021-1720,2038 SACRAMENTO 90021-1720,,,,888888,Medical Marijuana Collective,14,05/09/2007,,"(34.0305, -118.2306)"
0000978516-0001-2,GREEN LEAF CAREGIVERS,FIREHAUS,2000   COTNER AVENUE,LOS ANGELES,90025-5604,2000 COTNER 90025-5604,,,,888888,Medical Marijuana Collective,5,01/01/2000,,"(34.0422, -118.4417)"
0002185997-0001-9,GREENHOUSE HERBAL CENTER LLC,,5224 HOLLYWOOD BLVD,LOS ANGELES,90027-4909,5224 HOLLYWOOD 90027-4909,5224   HOLLYWOOD BLVD,LOS ANGELES,90027-4909,888888,Medical Marijuana Collective,13,09/28/2006,,"(34.1017, -118.3042)"
0002181088-0001-7,THE HOLISTIC CAREGIVERS  INC,CRENSHAW HOLISTIC CAREGIVERS,7415   CRENSHAW BLVD,LOS ANGELES,90043-4931,7415 CRENSHAW 90043-4931,603 E UNIVERSITY DRIVE SIDE #B-167,CARSON,90746-1969,888888,Medical Marijuana Collective,8,09/11/2006,,"(33.9722, -118.3312)"
0002200695-0001-3,CAHUENGA CAREGIVERS INC,THE REEFINERY,14901 OXNARD STREET,VAN NUYS,91411-2611,14901 OXNARD 91411-2611,,,,888888,Medical Marijuana Collective,4,11/30/2006,,"(34.1793, -118.4574)"
0002406834-0001-8,LIZBOR INC,WOODLANDHILLS TREATMENT CENTER WHTC,3760 CAHUENGA BLVD,STUDIO CITY,91604-3578,3760 CAHUENGA 91604-3578,,,,888888,Medical Marijuana Collective,4,02/01/2009,,"(34.1358, -118.3619)"
0002245971-0001-4,"MMD, INC.",,1515 N CAHUENGA BLVD,LOS ANGELES,90028-7312,1515 CAHUENGA 90028-7312,1515 N CAHUENGA BLVD,LOS ANGELES,90028-7312,888888,Medical Marijuana Collective,13,05/09/2007,,"(34.0985, -118.3298)"
0002233236-0001-4,GREEN DOT MEDICINAL CANNABIS PATIENT'S GROUP,GREEN DOT COLLECTIVE,4200 LINCOLN BLVD,MARINA DEL REY,90292-5618,4200 LINCOLN 90292-5618,4200 LINCOLN BLVD,MARINA DEL REY,90292-5618,888888,Medical Marijuana Collective,11,03/15/2007,,"(33.9868, -118.4444)"
0002273685-0001-6,FOUNTAIN OF WELLBEING A COOPERATIVE CORPORATION,FOUNTAIN OF WELL BEING,7231 HINDS AVENUE,NORTH HOLLYWOOD,91605-3702,7231 HINDS 91605-3702,7231   HINDS AVENUE,NORTH HOLLYWOOD,91605-3702,888888,Medical Marijuana Collective,2,09/01/2007,,"(34.2017, -118.391)"
0002233176-0001-1,TIMOTHY LEARY MEMORIAL DISPENSARY COLLECTIVE,POTTERY,5042   VENICE BLVD,LOS ANGELES,90019-5310,5042 VENICE 90019-5310,,,,888888,Medical Marijuana Collective,10,03/15/2007,,"(34.045, -118.3486)"
0002238832-0001-1,RDC COLLECTIVE CORP,,18448 OXNARD STREET,TARZANA,91356-1504,18448 OXNARD 91356-1504,,,,888888,Medical Marijuana Collective,3,04/01/2007,,"(34.1799, -118.535)"
0002201665-0001-0,JOHN R PYRE / JAVIER MONTES JR,DELTA-9 T.H.C,824 E ANAHEIM STREET UNIT #B,WILMINGTON,90744-6833,824 ANAHEIM 90744-6833,824 E ANAHEIM STREET   UNIT #B,WILMINGTON,90744-6833,888888,Medical Marijuana Collective,15,12/01/2006,,"(33.7805, -118.2523)"
0002274496-0001-5,THE VAN NUYS GROUP,THE GREEN EASY,8311 BEVERLY BLVD,LOS ANGELES,90048-2607,8311 BEVERLY 90048-2607,8311 BEVERLY BLVD,LOS ANGELES,90048-2607,888888,Medical Marijuana Collective,5,09/13/2007,,"(34.076, -118.3703)"
0002208428-0001-3,RELIEF CCR,,432 S SAN VICENTE BLVD SUITE #100,LOS ANGELES,90048-4185,432 SAN VICENTE 90048-4185,,,,888888,Medical Marijuana Collective,5,01/15/2007,,"(34.0706, -118.3759)"
0000410225-0002-1,TOLABUS STEIN,SILVER LAKE CAREGIVERS GROUP | SILVERLAKE CAREGIVERS GROUP,2464 FLETCHER DRIVE,LOS ANGELES,90039-2802,2464 FLETCHER 90039-2802,,,,888888,Medical Marijuana Collective,13,05/22/2006,,"(34.107, -118.2552)"
0002082405-0002-7,AFTER CARE COLLECTIVE,THE LOFT AND AFTER CARE,5338 ALHAMA DRIVE,WOODLAND HILLS,91364-2101,5338 ALHAMA 91364-2101,,,,888888,Medical Marijuana Collective,3,03/21/2007,,"(34.1662, -118.5931)"
0002174190-0001-8,"UNIVERSAL HERBAL CENTER, LLC",THE MARIJUANA FACTORY,9155   DEERING AVENUE,CHATSWORTH,91311-5802,9155 DEERING 91311-5802,9155   DEERING AVENUE,CHATSWORTH,91311-5802,888888,Medical Marijuana Collective,12,08/15/2006,,"(34.2368, -118.5962)"
0002209814-0001-1,BOO-KU C.C. INC,BOO KU,10467   ROSCOE BLVD,SUN VALLEY,91352-4101,10467 ROSCOE 91352-4101,22501 FRIAR STREET,WOODLAND HILLS,91367-1716,888888,Medical Marijuana Collective,6,10/26/2006,,"(34.2221, -118.36)"
0002242390-0001-6,WELCOME THE HEALING TOUCH INC,,18013 VENTURA BLVD UNIT #A,ENCINO,91316-3517,18013 VENTURA 91316-3517,,,,888888,Medical Marijuana Collective,5,04/25/2007,,"(34.1646, -118.5248)"
0002274712-0001-2,COMPASSION UNION INC,,11669   VANOWEN STREET,NORTH HOLLYWOOD,91605-6131,11669 VANOWEN 91605-6131,,,,888888,Medical Marijuana Collective,2,09/13/2007,,"(34.1942, -118.3867)"
0002189025-0001-0,NATURE'S NATURAL COOPERATIVE CARE INC,NEW AMSTERDAM NATURALS,9021 EXPOSITION BLVD,LOS ANGELES,90034-3305,9021 EXPOSITION 90034-3305,,,,888888,Medical Marijuana Collective,5,10/30/2006,,"(34.0285, -118.3924)"
0002212486-0001-9,CORNERSTONE RESEARCH COLLECTIVE,,2551 COLORADO BLVD,LOS ANGELES,90041-1040,2551 COLORADO 90041-1040,,,,888888,Medical Marijuana Collective,14,01/02/2007,,"(34.1417, -118.222)"
0002240228-0001-4,GREEN DRAGON CAREGIVERS INC,GREEN DRAGON,7236 VARNA AVENUE,NORTH HOLLYWOOD,91605-4102,7236 VARNA 91605-4102,,,,888888,Medical Marijuana Collective,2,04/15/2007,,"(34.2024, -118.4247)"
0002163060-0001-5,THE HIGHER PATH PATIENT ASSOCIATION,JPHP MANAGEMENT  | THE HIGHER PATH,14080 VENTURA BLVD,SHERMAN OAKS,91423-3542,14080 VENTURA 91423-3542,14080 VENTURA BLVD,SHERMAN OAKS,91423-3542,888888,Medical Marijuana Collective,4,06/29/2006,,"(34.1494, -118.4396)"
0002198991-0001-0,THE WELLNESS EARTH ENERGY DISPENSARY,WEED,11557 VENTURA BLVD,STUDIO CITY,91604-2611,11557 VENTURA 91604-2611,,,,888888,Medical Marijuana Collective,2,11/09/2006,,"(34.1399, -118.3837)"
0002132954-0001-7,KOREA TOWN COLLECTIVE LLC,ASCLEPIUS,7382 MELROSE AVENUE,LOS ANGELES,90046-7527,7382 MELROSE 90046-7527,7382 MELROSE AVENUE,LOS ANGELES,90046-7527,888888,Medical Marijuana Collective,5,07/24/2006,,"(34.0835, -118.3506)"
0002262577-0001-0,CALIFORNIA'S FINEST COAST TO COAST INC,CALI'S FINEST & 3C MEDICAL & COAST TO COAST,7127 CANOGA AVENUE,CANOGA PARK,91303-2035,7127 CANOGA 91303-2035,,,,888888,Medical Marijuana Collective,3,05/07/2007,,"(34.1998, -118.5977)"
0002203314-0002-5,VIRGIL GRANT III,,654 N MANHATTAN PLACE,LOS ANGELES,90004-1711,654 MANHATTAN 90004-1711,603 E UNIVERSITY DRIVE SUITE #B-167,CARSON,90746-1969,888888,Medical Marijuana Collective,4,07/11/2007,,"(34.0832, -118.3099)"
0002239627-0001-1,RED MOON INC,RED MOON,14350 OXNARD STREET,VAN NUYS,91401-3311,14350 OXNARD 91401-3311,,,,888888,Medical Marijuana Collective,4,04/01/2007,,"(34.1793, -118.4453)"
0002181643-0001-9,THE COMPASSION NETWORK LLC,MEDMEN VENICE | VENICE BEACH CARE CENTERS,410 LINCOLN BLVD,VENICE,90291-2829,410 LINCOLN 90291-2829,,,,888888,Medical Marijuana Collective,11,09/01/2006,,"(34.0004, -118.4659)"
0002255600-0001-6,SUNSET HERBAL CORNER INC,,11503 BURBANK BLVD UNIT #A,NORTH HOLLYWOOD,91601-2309,11503 BURBANK 91601-2309,7225 W SUNSET BLVD,LOS ANGELES,90046-3405,888888,Medical Marijuana Collective,2,06/25/2007,,"(34.1721, -118.3823)"
0002195649-0001-1,ASHMOON INC,HOLLYWOOD HIGH GRADE,7051 B SANTA MONICA BLVD,WEST HOLLYWOOD,90038-1042,7051 SANTA MONICA 90038-1042,,,,888888,Medical Marijuana Collective,4,11/02/2006,,"(34.0911, -118.3431)"
0002112381-0001-2,STRAIN BALBOA CAREGIVERS INC,STRAIN BALBOA CAREGIVERS,21627 DEVONSHIRE STREET #B,CHATSWORTH,91311-2902,21627 DEVONSHIRE 91311-2902,,,,888888,Medical Marijuana Collective,12,05/01/2006,,"(34.2572, -118.5999)"
0002173631-0001-4,"MISSION HILLS PATIENTS COLLECTIVE, INC",,18446   HART STREET   UNIT #M1-M2,RESEDA,91335-4215,18446 HART 91335-4215,18446   HART STREET   UNIT #M1-M2,RESEDA,91335-4215,888888,Medical Marijuana Collective,3,08/14/2006,,"(34.1971, -118.5351)"
0002224451-0001-6,WFARM1045 INC,THE WESTWOOD FARMACY,1035 GAYLEY AVENUE,LOS ANGELES,90024-3401,1035 GAYLEY 90024-3401,,,,888888,Medical Marijuana Collective,5,02/08/2007,,"(34.0613, -118.4474)"
0002112599-0001-9,CIRCLE OF HOPE ALLIANCE,BLUE GATE/ CIRCLE OF HOPE ALLIANCE,16901   ROSCOE BLVD,NORTHRIDGE,91343-6112,16901 ROSCOE 91343-6112,,,,888888,Medical Marijuana Collective,12,03/01/2006,,"(34.2216, -118.5012)"
0002274403-0001-9,HYPERION HEALING,BOMBAY,20660   BAHAMA STREET,CHATSWORTH,91311-6101,20660 BAHAMA 91311-6101,,,,888888,Medical Marijuana Collective,3,09/13/2007,,"(34.2314, -118.5838)"
0002097999-0001-3,CAC VENICE LLC,CALIFORNIA ALTERNATIVE CAREGIVERS,122 LINCOLN BLVD #204,VENICE,90291-2859,122 LINCOLN 90291-2859,,,,888888,Medical Marijuana Collective,11,02/13/2006,,"(34.0021, -118.4696)"
0002227550-0001-1,VFARM 1509,ROSE COLLECTIVE,411   ROSE AVENUE,VENICE,90291-2629,411 ROSE 90291-2629,411   ROSE AVENUE,VENICE,90291-2629,888888,Medical Marijuana Collective,11,02/08/2007,,"(33.9979, -118.4749)"
0002072981-0001-4,HOLISTIC SUPPLEMENTS LLC,COLLECTIVE CAREGIVERS PHARMACY AND 2 AM PHARMACY,3401 E 15TH STREET,LOS ANGELES,90023-3822,3401 15TH 90023-3822,,,,888888,Medical Marijuana Collective,14,10/19/2005,,"(34.0159, -118.2067)"
0002248953-0001-8,COLLECTIVE PHARM,THE HIGH NOTE CULVER CITY,5277 W JEFFERSON BLVD,LOS ANGELES,90016-3841,5277 JEFFERSON 90016-3841,523 W 6TH STREET   UNIT #716,LOS ANGELES,90014-1223,888888,Medical Marijuana Collective,10,05/24/2007,,"(34.0258, -118.3607)"
0002101730-0002-7,THE GREEN GODDESS INC,GREEN GODDESS COLLECTIVE,1716 MAIN STREET,VENICE,90291-6612,1716 MAIN 90291-6612,1716 MAIN STREET,VENICE,90291-6612,888888,Medical Marijuana Collective,11,10/01/2006,,"(33.9877, -118.4708)"
0002203172-0001-3,ABSOLUTE HERBAL PAIN SOLUTIONS INC,SHOWGROW LA,824 E 17TH STREET,LOS ANGELES,90021-3002,824 17TH 90021-3002,,,,888888,Medical Marijuana Collective,14,11/29/2006,,"(34.0272, -118.2531)"
0002178151-0001-7,LAX CC INC,,8332 LINCOLN BLVD,LOS ANGELES,90045-2414,8332 LINCOLN 90045-2414,,,,888888,Medical Marijuana Collective,11,10/01/2006,,"(33.9619, -118.421)"
0002237919-0001-7,PATIENTS CORP,,7132   FOOTHILL BLVD,TUJUNGA,91042-2717,7132 FOOTHILL 91042-2717,7132   FOOTHILL BLVD,TUJUNGA,91042-2717,888888,Medical Marijuana Collective,7,04/18/2011,,"(34.2479, -118.2873)"
0002212464-0001-2,BUDS & ROSES COLLECTIVE INC,BUDS & ROSES,13047 VENTURA BLVD LOWER LEVEL,STUDIO CITY,91604-2249,13047 VENTURA 91604-2249,,,,888888,Medical Marijuana Collective,2,01/01/2007,,"(34.1457, -118.4172)"
0002270852-0001-6,AMYLEE SMITHWICK,JAHLIFE - TRUE HOME OF RASTAFARI | JALIFE - TRUE HOME OF RASTAFARI,1054 S LA BREA AVENUE,LOS ANGELES,90019-6905,1054 LA BREA 90019-6905,12405 VENICE BLVD UNIT #369,LOS ANGELES,90066-3803,888888,Medical Marijuana Collective,10,08/31/2007,,"(34.0561, -118.3449)"
0002184683-0001-5,CANTODIEM DISPENSING COLLECTIVE INC,,10612 CHIQUITA STREET,NORTH HOLLYWOOD,91602-3215,10612 CHIQUITA 91602-3215,10612 CHIQUITA STREET,NORTH HOLLYWOOD,91602-3215,888888,Medical Marijuana Collective,2,09/01/2006,,"(34.1441, -118.3624)"
0002227446-0001-7,"LOS ANGELES VALLEY CAREGIVERS, INC.",,6132 WILSHIRE BLVD,LOS ANGELES,90048-5102,6132 WILSHIRE 90048-5102,,,,888888,Medical Marijuana Collective,5,02/05/2007,,"(34.063, -118.3623)"
0002192299-0001-5,PEACE OF GREEN INC,,1155 E PICO BLVD,LOS ANGELES,90021-2223,1155 PICO 90021-2223,,,,888888,Medical Marijuana Collective,14,04/15/2006,,"(34.0296, -118.2466)"
0002183557-0001-7,SUN VALLEY CAREGIVERS INC,,11000 RANDALL STREET UNIT #E,SUN VALLEY,91352-2649,11000 RANDALL 91352-2649,,,,888888,Medical Marijuana Collective,6,10/16/2006,,"(34.2371, -118.3713)"
0002189179-0001-4,WESTSIDE CAREGIVERS CLUB INC,WESTSIDE CAREGIVERS CLUB,7022 VALJEAN AVENUE,VAN NUYS,91406-3914,7022 VALJEAN 91406-3914,7022 VALJEAN AVENUE,VAN NUYS,91406-3914,888888,Medical Marijuana Collective,6,10/06/2006,,"(34.198, -118.4858)"
